ID,Norm,46718,Expo,Random_float,random_discrete,categorical,32134_w,32134_y,32134_z
0,0.5367092449268537,0.5863106176315138,0.9907404251106932,0.7874379459850972,0.326530612244898,0.6666666666666667,1,0,1
1,0.7294613985767893,0.9810457367106598,0.8405598458182311,0.9906678583372089,0.9387755102040817,0.0,0,1,1
2,0.7069510188756474,0.6328052451314722,1.0,0.22351849919329747,0.24489795918367352,0.6666666666666667,0,1,1
3,0.35439138059664554,0.4549416201687301,1.0,0.1783522081692569,0.8775510204081632,0.33333333333333337,0,1,1
4,0.6250788410229908,0.3654952034940604,0.9992068932522375,1.0,0.04081632653061229,1.0,0,1,1
5,0.6544330957406339,0.4958991031962857,0.7999855987975528,0.389441871734989,0.8775510204081632,0.0,0,1,1
6,0.7776172386921394,0.5637734817553772,0.9639839121033614,0.6225267074154304,0.0,0.6666666666666667,1,1,1
7,0.4364207425494713,0.09300503725495535,0.8779126899381816,0.20615169726249216,0.4897959183673469,0.33333333333333337,0,1,1
8,0.7328490041046369,0.5456878971646513,0.9270163027132184,0.12549989322725585,0.4897959183673469,0.6666666666666667,0,1,1
9,0.5710570613870742,0.3784651013724111,0.759229033433237,0.1489493226287587,0.6326530612244898,1.0,1,0,1
10,0.8342587005896961,0.7091487470412803,0.6989723866281778,0.22287065605559064,0.8367346938775511,0.0,0,1,1
11,0.44147441658520714,0.6675630395753283,0.30432020723859166,0.7318614337851672,0.6122448979591837,0.33333333333333337,1,1,0
12,0.38570827943822594,0.372505697604971,0.9801440873995962,0.1881280078911226,0.16326530612244894,0.6666666666666667,1,1,1
13,0.4933488727624471,0.30504800530048337,0.7596415565641409,0.4669987228887508,0.10204081632653061,0.33333333333333337,1,1,1
14,0.8072520082741079,0.5486139886431411,0.9628961908668393,0.9485140666823364,0.0,0.6666666666666667,1,1,1
15,0.4382732982244453,0.79636439084398,1.0,0.5436646857154483,0.6938775510204082,0.6666666666666667,1,1,0
16,1.0,0.5108873392865749,0.9149982440400997,0.05764471274592031,0.6734693877551021,1.0,0,1,1
17,0.7507357361839115,0.4502686220292551,0.9981547468903936,0.11203290561873402,0.5714285714285714,1.0,1,1,1
18,0.628297865293268,0.46565205473704274,0.6733924998801057,0.8989246828323879,0.7551020408163265,0.0,1,1,0
19,0.6313928387165754,0.5781067196694494,0.9904746750858013,0.2560028157365617,0.7755102040816326,0.0,1,0,1
20,1.0,0.5083955651126068,0.8592026615368598,0.19423484888310838,0.8163265306122449,0.33333333333333337,0,1,1
21,0.37065554643129417,0.6097585830883667,0.8141859210516784,0.7295216185401985,1.0,0.33333333333333337,1,1,0
22,0.25589175563360456,0.671243055214197,0.8082512645085084,0.5289707509332577,0.36734693877551017,1.0,0,1,1
23,0.7815452919037321,0.3541071415649447,0.9827195338619011,0.28919625902017065,0.40816326530612246,0.0,1,0,1
24,0.6757753299635876,0.46582522229714296,1.0,0.5615915882964566,0.8571428571428572,0.6666666666666667,1,1,0
25,0.5464857128075615,0.5080218707145734,0.7861540773434399,0.8883746597204081,0.5918367346938775,1.0,0,1,1
26,0.629114953124235,0.5685558393674692,0.956691094103884,0.29431018296927036,0.5714285714285714,0.6666666666666667,1,1,0
27,0.5065831123045929,0.5130297977058417,0.9239751317571541,0.08821431528132229,0.653061224489796,0.6666666666666667,1,1,1
